scout_initials,match_number,robot_loc,team_number,starting_position,no_show,auto_lunites_missed,auto_lunites_high,auto_lunites_low,moved,ground_intake_auto,pre_high_lunites_scored,pre_low_lunites_scored,pre_lunites_missed,pre_lunites_passed,post_high_lunites_scored,post_low_lunites_scored,post_lunites_missed,post_lunites_passed,end_position,bunnies_inside,tele_op_ground_intake,general_comments,defense_fouls,defense_rating,postmatch_driver_ranking,postmatch_difficulties,comments_open
HR,1,R1,5940,I,FALSE,1,2,5,TRUE,FALSE,8,1,4,4,6,4,2,3,none,2,FALSE,0,0,1,3,NA
NS,1,R2,2910,O,FALSE,3,0,0,TRUE,FALSE,4,6,4,4,3,6,2,1,linked,3,FALSE,0,3,2,1,t
NS,1,B1,3937,I,FALSE,1,0,3,TRUE,FALSE,6,3,1,2,4,1,3,8,linked,3,FALSE,2,0,0,4,t
HR,1,B2,449,I,FALSE,1,1,2,TRUE,FALSE,7,1,2,3,4,7,2,8,none,3,FALSE,,0,0,4,NA
HR,2,R1,1727,I,FALSE,3,0,2,TRUE,FALSE,8,4,3,3,2,2,2,2,none,3,TRUE,0,4,1,5,de
NS,2,R2,118,O,FALSE,2,1,4,TRUE,FALSE,2,5,5,2,3,5,4,6,linked,2,FALSE,0,1,2,1,NA
NS,2,B1,1690,O,FALSE,3,1,4,TRUE,FALSE,9,5,2,5,5,8,0,10,linked,3,FALSE,0,2,4,4,NA
HR,2,B2,422,O,FALSE,0,1,3,TRUE,FALSE,3,3,2,3,3,5,4,3,linked,2,FALSE,,0,0,5,di
NS,3,R1,6767,I,FALSE,0,1,1,TRUE,FALSE,1,1,2,2,4,4,4,5,none,2,FALSE,0,4,0,1,NA
NS,3,R2,4414,O,FALSE,1,0,1,FALSE,TRUE,6,2,3,3,4,7,4,1,linked,3,TRUE,,0,0,3,ba
NS,3,B1,2056,I,FALSE,0,0,1,TRUE,FALSE,10,3,0,2,6,0,1,7,linked,2,FALSE,3,0,0,3,NA
NS,3,B2,9072,I,FALSE,0,0,2,TRUE,FALSE,8,4,2,2,0,1,2,10,linked,2,FALSE,,0,0,2,ba
HR,4,R1,1323,I,FALSE,3,1,2,TRUE,FALSE,1,5,4,0,0,8,3,3,none,2,FALSE,,0,0,5,de
NS,4,R2,1678,O,FALSE,2,0,0,TRUE,FALSE,6,4,3,0,5,0,5,8,linked,3,FALSE,0,3,0,2,NA
HR,4,B1,254,I,FALSE,1,0,2,TRUE,FALSE,4,0,3,3,2,5,1,6,linked,3,FALSE,0,1,0,4,NA
HR,4,B2,359,O,FALSE,0,1,2,TRUE,FALSE,6,7,2,2,4,8,5,4,none,3,FALSE,0,0,0,2,de
HR,5,R1,8590,I,FALSE,0,1,4,TRUE,FALSE,5,3,1,5,2,3,3,4,linked,3,FALSE,0,1,1,3,ba
NS,5,R2,3937,I,FALSE,1,1,0,TRUE,TRUE,6,5,5,3,7,2,2,5,linked,1,FALSE,0,0,1,5,ls
HR,5,B1,5026,O,FALSE,1,2,3,TRUE,FALSE,9,3,2,4,5,5,3,9,none,3,FALSE,0,0,0,1,NA
HR,5,B2,2106,O,FALSE,0,0,0,TRUE,FALSE,5,4,4,4,2,6,2,6,linked,1,FALSE,,0,0,1,NA
HR,6,R1,449,I,FALSE,3,0,2,TRUE,FALSE,5,5,4,1,5,5,2,2,linked,3,FALSE,0,1,3,1,de
NS,6,R2,2056,I,FALSE,2,0,2,TRUE,FALSE,8,5,3,2,4,8,3,6,linked,3,FALSE,,0,0,2,ba
NS,6,B1,9072,I,FALSE,0,3,0,TRUE,FALSE,6,4,1,4,5,1,5,2,linked,3,FALSE,,0,0,3,ls
NS,6,B2,118,O,FALSE,2,0,0,TRUE,FALSE,4,1,5,5,4,2,4,2,linked,3,TRUE,0,1,0,3,NA
NS,7,R1,422,I,FALSE,2,1,1,TRUE,FALSE,6,2,1,5,4,4,3,5,linked,1,FALSE,,0,0,1,de
NS,7,R2,6767,O,FALSE,1,0,4,TRUE,FALSE,4,2,1,1,2,3,3,5,linked,2,FALSE,0,2,0,5,de
NS,7,B1,359,I,FALSE,3,0,3,TRUE,FALSE,4,2,4,2,4,9,3,4,linked,3,FALSE,,0,0,4,NA
NS,7,B2,1678,O,FALSE,0,0,5,TRUE,FALSE,7,1,3,2,3,3,4,7,linked,2,FALSE,0,0,0,2,NA
HR,8,R1,1690,I,FALSE,1,1,5,TRUE,FALSE,2,0,3,1,3,5,3,5,linked,2,TRUE,,0,0,3,de
HR,8,R2,5940,O,FALSE,3,0,6,TRUE,FALSE,6,4,2,4,3,8,2,6,linked,2,FALSE,1,0,0,3,NA
NS,8,B1,1323,O,FALSE,0,1,0,TRUE,FALSE,7,5,4,2,1,0,3,1,none,2,FALSE,2,0,0,1,NA
NS,8,B2,8590,I,FALSE,3,0,4,TRUE,FALSE,4,3,1,2,3,3,3,4,linked,3,FALSE,,0,0,5,ls
HR,9,R1,2910,I,FALSE,2,1,2,TRUE,FALSE,7,0,2,4,5,8,3,2,linked,3,FALSE,,0,0,5,NA
HR,9,R2,5026,O,FALSE,3,0,4,TRUE,FALSE,7,3,3,2,1,5,0,6,none,3,FALSE,,0,0,4,de
NS,9,B1,1727,O,FALSE,0,0,1,TRUE,FALSE,6,3,2,0,2,7,3,5,linked,1,FALSE,0,0,0,5,de
HR,9,B2,254,O,FALSE,3,0,0,TRUE,FALSE,4,2,1,3,0,3,4,6,linked,3,FALSE,0,1,0,4,NA
HR,10,R1,2106,I,FALSE,3,0,0,TRUE,FALSE,2,2,2,4,0,3,4,3,linked,2,FALSE,,0,0,4,ba
NS,10,R2,449,I,FALSE,0,1,0,TRUE,FALSE,10,7,1,4,2,2,3,5,linked,3,FALSE,,0,0,3,NA
NS,10,B1,4414,O,FALSE,0,2,5,FALSE,FALSE,0,7,1,3,3,5,3,5,linked,2,FALSE,,0,0,1,NA
